date,price
01-05-2015,1685
01-06-2015,1709
01-07-2015,1803
01-08-2015,1857
01-09-2015,1675
01-10-2015,1702
01-11-2015,1787
01-12-2015,1829
01-01-2016,1692
01-02-2016,1776
01-03-2016,1879
01-04-2016,1836
01-05-2016,1859
01-06-2016,1861
01-07-2016,1906
01-08-2016,1910
01-09-2016,2072
01-10-2016,2041
01-11-2016,1919
01-12-2016,2027
01-01-2017,1971
01-02-2017,2084
01-03-2017,2155
01-04-2017,2171
01-05-2017,2135
01-06-2017,2117
01-07-2017,2248
01-08-2017,2263
01-09-2017,2303
01-10-2017,2118
01-11-2017,2237
01-12-2017,2111
01-01-2018,2183
01-02-2018,2292
01-03-2018,2459
01-04-2018,2594
01-05-2018,2419
01-06-2018,2312
01-07-2018,2506
01-08-2018,2557
01-09-2018,2656
01-10-2018,2615
01-11-2018,2484
01-12-2018,2632
01-01-2019,2383
01-02-2019,2411
01-03-2019,2500
01-04-2019,2607
01-05-2019,2526




