date,price
1/6/2015,1933
1/7/2015,2062
1/8/2015,2000
1/9/2015,2080
1/10/2015,2066
1/11/2015,2022
1/12/2015,2016
1/1/2016,2066
1/2/2016,2071
1/3/2016,2234
1/4/2016,2167
1/5/2016,2106
1/6/2016,2262
1/7/2016,2123
1/8/2016,2230
1/9/2016,2250
1/10/2016,2212
1/11/2016,2276
1/12/2016,2464
1/1/2017,2374
1/2/2017,2469
1/3/2017,2373
1/4/2017,2523
1/5/2017,2607
1/6/2017,2701
1/7/2017,2497
1/8/2017,2726
1/9/2017,2680
1/10/2017,2801
1/12/2017,2706
1/1/2018,2682
1/2/2018,2769
1/3/2018,2744
1/4/2018,2791
1/5/2018,2938
1/6/2018,2944
1/7/2018,2689
1/8/2018,2768
1/9/2018,2915
1/10/2018,2704
1/11/2018,2695
1/12/2018,2722
1/1/2019,2621
1/2/2019,2880
1/3/2019,2736
1/4/2019,2699
1/5/2019,2555
