date,price
01-05-2015,1565
01-06-2015,1653
01-07-2015,1627
01-08-2015,1655
01-09-2015,1688
01-10-2015,1747
01-11-2015,1692
01-12-2015,1716
01-01-2016,1736
01-02-2016,1667
01-03-2016,1634
01-04-2016,1662
01-05-2016,1620
01-06-2016,1649
01-07-2016,1708
01-08-2016,1768
01-09-2016,1916
01-10-2016,2052
01-11-2016,1906
01-12-2016,2012
01-01-2017,2042
01-02-2017,2177
01-03-2017,1991
01-04-2017,2036
01-05-2017,2018
01-06-2017,2086
01-07-2017,2190
01-08-2017,2261
01-09-2017,2379
01-10-2017,2260
01-11-2017,2185
01-12-2017,2214
01-01-2018,2326
01-02-2018,2095
01-03-2018,2255
01-04-2018,2367
01-05-2018,2158
01-06-2018,2300
01-07-2018,2107
01-08-2018,2213
01-09-2018,2323
01-10-2018,2459
01-11-2018,2336
01-12-2018,2258
01-01-2019,2233
01-02-2019,2283
01-03-2019,2271
01-04-2019,2385
01-05-2019,2357




