year,month,price
2015,1,78.2
2015,2,78.3
2015,3,95.3
2015,4,95
2015,5,97.2
2015,6,103
2015,7,97.3
2015,8,102.9
2015,9,103.2
2015,10,107
2015,11,106.8
2015,12,135.9
2016,1,83.7
2016,2,93.1
2016,3,105.4
2016,4,103.1
2016,5,109.4
2016,6,113.9
2016,7,93.6
2016,8,112.3
2016,9,105.3
2016,10,119.3
2016,11,125.8
2016,12,153.7
2017,1,104.4
2017,2,108.3
2017,3,131
2017,4,127.1
2017,5,137.3
2017,6,131.1
2017,7,138.6
2017,8,144.8
2017,9,142.9
2017,10,155.4
2017,11,159.1
2017,12,189.9
2018,1,132.1
2018,2,134.5
2018,3,159.9
2018,4,158.4
2018,5,173.7
2018,6,164.2
2018,7,179.4
2018,8,174.8
2018,9,200
2018,10,198.4
2018,11,183.8
2018,12,211.3
2019,1,154
2019,2,153.3
2019,3,189.6
2019,4,186.3
