year,month,price
2015,1,97.68
2015,2,97.71
2015,3,98.12
2015,4,98.91
2015,5,99.63
2015,6,99.48
2015,7,100.61
2015,8,101.45
2015,9,102.23
2015,10,101.57
2015,11,101.4
2015,12,101.23
2016,1,109.67
2016,2,109.67
2016,3,110.87
2016,4,111.68
2016,5,113.15
2016,6,112.39
2016,7,112.21
2016,8,112.68
2016,9,112.78
2016,10,113.35
2016,11,116.09
2016,12,118.52
2017,1,124.3
2017,2,124.73
2017,3,126.22
2017,4,126.66
2017,5,127.14
2017,6,127.04
2017,7,127.91
2017,8,129.06
2017,9,130.52
2017,10,131.87
2017,11,134.59
2017,12,136.77
2018,1,143.97
2018,2,145.94
2018,3,148.27
2018,4,150.67
2018,5,154.54
2018,6,158.18
2018,7,160.38
2018,8,168.99
2018,9,179.27
2018,10,179.45
2018,11,174.88
2018,12,172.55
2019,1,184.44
2019,2,185.85
2019,3,188.14
2019,4,190.74






















