year,month,price
2015,5,264.78
2015,6,264.44
2015,7,264.12
2015,8,265.32
2015,9,267.77
2015,10,271.79
2015,11,274.35
2015,12,275.48
2016,1,280.49
2016,2,280.49
2016,3,280.2
2016,4,282.26
2016,5,284.66
2016,6,286.36
2016,7,289.28
2016,8,287.88
2016,9,288.82
2016,10,293.75
2016,11,295.17
2016,12,300.09
2017,1,307.44
2017,2,309.73
2017,3,313.2
2017,4,318.44
2017,5,319.52
2017,6,318.83
2017,7,319.58
2017,8,320.79
2017,9,324.24
2017,10,331.96
2017,11,336.49
2017,12,339.35    
2018,1,342.87
2018,2,345.49
2018,3,348.78
2018,4,354.46
2018,5,360.92
2018,6,369.52
2018,7,371.4
2018,8,379.61
2018,9,402.52
2018,10,415.3
2018,11,409.99
2018,12,408.73
2019,1,413.75
2019,2,414.21
2019,3,417.84
2019,4,426.23
2019,5,430.1
