Date,Price,Pmin,Pmax,Diff
28.05.2019,6.0319,6.0646,6.0850,5.9811.-0.51%
27.05.2019,6.0629,6.0903,6.1070,6.0270.-0.27%
26.05.2019,6.0794,6.0844,6.1082,6.0746.-0.05%
24.05.2019,6.0825,6.0963,6.1290,6.0370.-0.23%
23.05.2019,6.0964,6.0956,6.1520,6.0845.-0.06%
22.05.2019,6.1002,6.0606,6.1300,6.0518.0.79%
21.05.2019,6.0525,6.0287,6.0820,6.0060.0.42%
20.05.2019,6.0272,6.0631,6.0881,5.9983.-0.57%
19.05.2019,6.0617,6.0555,6.0632,6.0511.0.11%
17.05.2019,6.0550,6.0425,6.0953,6.0180.0.15%
16.05.2019,6.0457,6.0042,6.0553,5.9893.0.75%
15.05.2019,6.0007,6.0335,6.0891,5.9898.-0.50%
14.05.2019,6.0306,6.0607,6.1162,5.9787.-0.48%
13.05.2019,6.0594,6.0064,6.1346,5.9572.1.10%
12.05.2019,5.9936,5.9851,6.0066,5.9771.0.14%
10.05.2019,5.9851,6.1988,6.2126,5.9600.-3.35%
09.05.2019,6.1926,6.1810,6.2465,6.1509.0.11%
08.05.2019,6.1860,6.1484,6.1997,6.1375.0.57%
07.05.2019,6.1511,6.0780,6.1979,6.0714.1.16%
06.05.2019,6.0803,5.9664,6.1496,5.9663.1.59%
05.05.2019,5.9851,5.9644,5.9959,5.9640.0.34%
03.05.2019,5.9648,5.9736,5.9932,5.9577.0.01%
02.05.2019,5.9645,5.9671,5.9829,5.9425.-0.03%
01.05.2019,5.9665,5.9675,5.9699,5.9351.0.02%
30.04.2019,5.9656,5.9488,5.9875,5.9259.0.29%
29.04.2019,5.9483,5.9343,5.9629,5.9130.0.03%
28.04.2019,5.9462,5.9377,5.9472,5.9318.0.14%
26.04.2019,5.9382,5.9276,5.9696,5.9070.0.19%
25.04.2019,5.9268,5.8750,5.9811,5.8624.0.88%
24.04.2019,5.8753,5.8297,5.8954,5.8224.0.80%
23.04.2019,5.8287,5.8273,5.8534,5.8075.0.03%
